7/10/2016	02:20.0	50.0000	200.0000
7/10/2016	02:20.1	49.9579	199.8316
7/10/2016	02:20.2	49.9158	199.6632
7/10/2016	02:20.3	49.8736	199.4946
7/10/2016	02:20.3	49.8315	199.3258
7/10/2016	02:20.4	49.7892	199.1570
7/10/2016	02:20.5	49.7470	198.9880
7/10/2016	02:20.6	49.7047	198.8189
7/10/2016	02:20.7	49.6624	198.6497
7/10/2016	02:20.8	49.6201	198.4804
7/10/2016	02:20.9	49.5777	198.3110
7/10/2016	02:21.0	49.5354	198.1414
7/10/2016	02:21.0	49.4929	197.9718
7/10/2016	02:21.1	49.4505	197.8020
7/10/2016	02:21.2	49.4080	197.6321
7/10/2016	02:21.3	49.3655	197.4621
7/10/2016	02:21.4	49.3230	197.2920
7/10/2016	02:21.5	49.2804	197.1217
7/10/2016	02:21.6	49.2378	196.9514
7/10/2016	02:21.6	49.1952	196.7809
7/10/2016	02:21.7	49.1526	196.6103
7/10/2016	02:21.8	49.1099	196.4397
7/10/2016	02:21.9	49.0672	196.2689
7/10/2016	02:22.0	49.0245	196.0980
7/10/2016	02:22.1	48.9817	195.9270
7/10/2016	02:22.2	48.9390	195.7558
7/10/2016	02:22.2	48.8962	195.5846
7/10/2016	02:22.3	48.8533	195.4133
7/10/2016	02:22.4	48.8105	195.2418
7/10/2016	02:22.5	48.7676	195.0703
7/10/2016	02:22.6	48.7247	194.8987
7/10/2016	02:22.7	48.6817	194.7269
7/10/2016	02:22.8	48.6388	194.5550
7/10/2016	02:22.9	48.5958	194.3831
7/10/2016	02:22.9	48.5528	194.2110
7/10/2016	02:23.0	48.5097	194.0389
7/10/2016	02:23.1	48.4666	193.8666
7/10/2016	02:23.2	48.4236	193.6942
7/10/2016	02:23.3	48.3804	193.5218
7/10/2016	02:23.4	48.3373	193.3492
7/10/2016	02:23.5	48.2941	193.1765
7/10/2016	02:23.5	48.2509	193.0038
7/10/2016	02:23.6	48.2077	192.8309
7/10/2016	02:23.7	48.1645	192.6579
7/10/2016	02:23.8	48.1212	192.4849
7/10/2016	02:23.9	48.0779	192.3117
7/10/2016	02:24.0	48.0346	192.1385
7/10/2016	02:24.1	47.9913	191.9651
7/10/2016	02:24.1	47.9479	191.7917
7/10/2016	02:24.2	47.9045	191.6182
7/10/2016	02:24.3	47.8611	191.4446
7/10/2016	02:24.4	47.8177	191.2708
7/10/2016	02:24.5	47.7743	191.0970
7/10/2016	02:24.6	47.7308	190.9231
7/10/2016	02:24.7	47.6873	190.7492
7/10/2016	02:24.8	47.6438	190.5751
7/10/2016	02:24.8	47.6002	190.4009
7/10/2016	02:24.9	47.5567	190.2267
7/10/2016	02:25.0	47.5131	190.0523
7/10/2016	02:25.1	47.4695	189.8779
7/10/2016	02:25.2	47.4258	189.7034
7/10/2016	02:25.3	47.3822	189.5288
7/10/2016	02:25.4	47.3385	189.3541
7/10/2016	02:25.4	47.2948	189.1793
7/10/2016	02:25.5	47.2511	189.0045
7/10/2016	02:25.6	47.2074	188.8295
7/10/2016	02:25.7	47.1636	188.6545
7/10/2016	02:25.8	47.1198	188.4794
7/10/2016	02:25.9	47.0760	188.3042
7/10/2016	02:26.0	47.0322	188.1289
7/10/2016	02:26.0	46.9884	187.9536
7/10/2016	02:26.1	46.9445	187.7782
7/10/2016	02:26.2	46.9007	187.6026
7/10/2016	02:26.3	46.8568	187.4271
7/10/2016	02:26.4	46.8128	187.2514
7/10/2016	02:26.5	46.7689	187.0756
7/10/2016	02:26.6	46.7250	186.8998
7/10/2016	02:26.7	46.6810	186.7239
7/10/2016	02:26.7	46.6370	186.5480
7/10/2016	02:26.8	46.5930	186.3719
7/10/2016	02:26.9	46.5489	186.1958
7/10/2016	02:27.0	46.5049	186.0196
7/10/2016	02:27.1	46.4608	185.8433
7/10/2016	02:27.2	46.4167	185.6670
7/10/2016	02:27.3	46.3726	185.4906
7/10/2016	02:27.3	46.3285	185.3141
7/10/2016	02:27.4	46.2844	185.1376
7/10/2016	02:27.5	46.2402	184.9609
7/10/2016	02:27.6	46.1961	184.7842
7/10/2016	02:27.7	46.1519	184.6075
7/10/2016	02:27.8	46.1077	184.4307
7/10/2016	02:27.9	46.0634	184.2538
7/10/2016	02:27.9	46.0192	184.0768
7/10/2016	02:28.0	45.9749	183.8998
7/10/2016	02:28.1	45.9307	183.7227
7/10/2016	02:28.2	45.8864	183.5455
