0.01189	120.541
0.01313	121.653
0.01304	122.049
0.01310	123.512
0.01252	121.428
0.01275	124.237
0.01201	120.068
0.01310	119.856
0.01322	125.104
0.01242	118.471
0.01205	119.991
0.01282	122.760
0.01301	120.449
0.01256	124.215
0.01317	123.102
0.01249	120.875
0.01218	117.667
0.01242	121.700
0.01329	115.852
0.01271	120.733
0.01262	122.425
0.01183	120.639
0.01215	122.639
0.01252	126.117
0.01201	122.772
0.01292	120.801
0.01264	121.925
0.01197	121.276
0.01194	116.056
0.01222	118.751
0.01231	123.674
0.01273	119.869
0.01222	121.747
0.01283	116.980
0.01228	120.194
0.01239	121.801
0.01207	115.915
0.01267	121.043
0.01226	119.454
0.01220	117.181
0.01286	119.887
0.01244	114.311
0.01191	113.616
0.01246	116.469
0.01262	117.028
0.01232	116.481
0.01261	114.824
0.01233	120.865
0.01255	115.217
0.01251	120.331
0.01232	122.361
0.01199	119.993
0.01233	120.279
0.01189	118.866
0.01335	115.552
0.01268	119.869
0.01241	122.882
0.01283	125.215
0.01302	118.709
0.01226	115.118
0.01227	120.499
0.01239	121.129
0.01235	119.319
0.01285	116.553
0.01270	126.073
0.01254	112.921
0.01277	118.470
0.01237	116.035
0.01164	118.092
0.01269	120.954
0.01225	120.414
0.01292	117.868
0.01200	122.331
0.01289	121.867
0.01242	121.942
0.01275	118.723
0.01230	123.146
0.01250	121.982
0.01252	127.526
0.01145	123.190
0.01275	123.471
0.01252	120.159
0.01153	116.135
0.01296	118.886
0.01229	117.727
0.01294	118.308
0.01211	121.665
0.01237	118.330
0.01225	117.315
0.01261	118.772
0.01240	119.517
0.01195	121.228
0.01346	117.142
0.01317	120.952
0.01234	120.234
0.01276	123.973
0.01262	119.360
0.01311	119.597
0.01286	116.486
0.01266	115.844
